"name"
"Lamberto Bava"
"Anne Baxter"
"Meredith Baxter"
"Michael Bay"
"Nathalie Baye"
"Stephanie Beacham"
"Jennifer Beals"
"Ned Beatty"
"Warren Beatty"
"Meret Becker"
"Bonnie Bedelia"
"Noah Beery Jr."
"Wallace Beery"
"Jason Beghe"
"Ed Begley Jr."
"Jean-Jacques Beineix"
"Barbara Bel Geddes"
"Harry Belafonte"
"Ralph Bellamy"
"Kathleen Beller"
"Monica Bellucci"
"Pamela Bellwood"
"Jean-Paul Belmondo"
"Jim Belushi"
"Brian Benben"
"William Bendix"
"Roberto Benigni"
"Annette Bening"
"Richard Benjamin"
"David Bennent"
"Constance Bennett"
"Joan Bennett"
"Nigel Bennett"
"Jack Benny"
"Robby Benson"
"Robert Benton"
"Bruce Beresford"
"Peter Berg"
"Polly Bergen"
"Helmut Berger"
"Senta Berger"
"Patrick Bergin"
"Sandahl Bergman"
"Busby Berkeley"
"Elizabeth Berkley"
"Steven Berkoff"
"Milton Berle"
"Irving Berlin"
"Sandra Bernhard"
"Corbin Bernsen"
"Elmer Bernstein"
"Elizabeth Berridge"
"Halle Berry"
"Valerie Bertinelli"
"Bernardo Bertolucci"
"Bibi Besch"
"Martine Beswick"
"Richard Beymer"
"Daniela Bianchi"
"Bigas Luna"
"Kathryn Bigelow"
"Theodore Bikel"
"Traci Bingham"
"Jane Birkin"
"Whit Bissell"
"Karen Black"
"Shane Black"
"Cate Blanchett"
"Brenda Blethyn"
"Joan Blondell"
"Hart Bochner"
"Peter Bogdanovich"
"Jon Bon Jovi"
"Ward Bond"
"Lisa Bonet"
"Jan de Bont"
"John Boorman"
"Powers Boothe"
"Barry Bostwick"
"Timothy Bottoms"
"Carole Bouquet"
"Stephen Boyd"
"Charles Boyer"
"Danny Boyle"
"Lorraine Bracco"
"Eric Braeden"
"Sônia Braga"
"Lillo Brancato"
"Jonathan Brandis"
"Nicoletta Braschi"
"Tinto Brass"
"Benjamin Bratt"
"Walter Brennan"
"Beau Bridges"
"Lloyd Bridges"
"Wilford Brimley"
"Jim Broadbent"
"James Brolin"
"Josh Brolin"
"Albert Brooks"
"Avery Brooks"
"James L. Brooks"
"Bryan Brown"
"Jim Brown"
"Jerry Bruckheimer"
"Yul Brynner"
"Betty Buckley"
"Geneviève Bujold"
"Billie Burke"
"Carol Burnett"
"Raymond Burr"
"Ellen Burstyn"
"LeVar Burton"
"Gary Busey"
"Jake Busey"
"Red Buttons"
"Tom Byron"
"James Caan"
"Dean Cain"
"Simon Callow"
"Billy Campbell"
"Jane Campion"
"John Candy"
"Dyan Cannon"
"Frank Capra"
"Kate Capshaw"
"Capucine"
"Irene Cara"
"Claudia Cardinale"
"Harry Carey Jr."
"Mariah Carey"
"Robert Carlyle"
"David Carradine"
"John Carradine"
"Keith Carradine"
"Robert Carradine"
"Katrin Cartlidge"
"Veronica Cartwright"
"Dana Carvey"
"John Cassavetes"
"Nick Cassavetes"
"Seymour Cassel"
"Joanna Cassidy"
"Shaun Cassidy"
"Maxwell Caulfield"
"Jim Caviezel"
"John Cazale"
"Claude Chabrol"
"Marilyn Chambers"
"Lon Chaney Jr."
"Rosalind Chao"
"Ben Chaplin"
"Geraldine Chaplin"
"Graham Chapman"
"Josh Charles"
"David Charvet"
"Joan Chen"
"Maggie Cheung"
"Lois Chiles"
"Anna Chlumsky"
"Rae Dawn Chong"
"Tommy Chong"
"Julie Christie"
"Andrew Dice Clay"
"Jill Clayburgh"
"Montgomery Clift"
"Bill Clinton"
"Kurt Cobain"
"Ethan Coen"
"Joel Coen"
"Claudette Colbert"
"Dabney Coleman"
"Toni Collette"
"Joan Collins"
"Robbie Coltrane"
"Chris Columbus"
"Holly Marie Combs"
"Jeffrey Combs"
"Jeff Conaway"
"Jason Connery"
"Harry Connick Jr."
"Robert Conrad"
"Jackie Coogan"
"Sofia Coppola"
"Bud Cort"
"Bill Cosby"
"Joseph Cotten"
"Courteney Cox"
"Ronny Cox"
"Peter Coyote"
"Joan Crawford"
"Richard Crenna"
"Bing Crosby"
"Scatman Crothers"
"Lindsay Crouse"
"Cameron Crowe"
"Billy Crudup"
"Jon Cryer"
"Ice Cube"
"Kieran Culkin"
"Alan Cumming"
"Lee Curreri"
"Peter Cushing"
"Henry Czerny"
"Patti D'Arbanville"
"Mark Dacascos"
"John Dahl"
"Roald Dahl"
"Béatrice Dalle"
"Timothy Dalton"
"Charles Dance"
"Rodney Dangerfield"
"Jeff Daniels"
"Blythe Danner"
"Ted Danson"
"Joe Dante"
"Tony Danza"
"Frank Darabont"
"Linda Darnell"
"Racquel Darrian"
"Stacey Dash"
"Robert Davi"
"Jaye Davidson"
"Embeth Davidtz"
"Jeremy Davies"
"Andrew Davis"
"Brad Davis"
"Judy Davis"
"Ossie Davis"
"Warwick Davis"
"Bruce Davison"
"Pam Dawber"
"Yvonne De Carlo"
"Vittorio De Sica"
"Brandon De Wilde"
"Ellen DeGeneres"
"Dom DeLuise"
"Cecil B. DeMille"
"Benicio Del Toro"
"Kim Delaney"
"Dana Delany"
"Alain Delon"
"Jonathan Demme"
"Patrick Dempsey"
"Judi Dench"
"Brian Dennehy"
"Bob Denver"
"John Derek"
"Bruce Dern"
"William Devane"
"Susan Dey"
"Tom DiCillo"
"Angie Dickinson"
"Uschi Digard"
"Kevin Dillon"
"Céline Dion"
"Divine"
"Donna Dixon"
"Shannen Doherty"
"Troy Donahue"
"Richard Donner"
"James Doohan"
"Stephen Dorff"
"Illeana Douglas"
"Lesley-Anne Down"
"Michael Dudikoff"
"Patrick Duffy"
"Olympia Dukakis"
"Patty Duke"
"Keir Dullea"
"Faye Dunaway"
"Adrian Dunbar"
"Dominique Dunne"
"Griffin Dunne"
"Roy Dupuis"
"Charles Durning"
"Charles S. Dutton"
"James Duval"
"Shelley Duvall"
"Bob Dylan"
"George Dzundza"
"Roger Ebert"
"Buddy Ebsen"
"Christopher Eccleston"
"Aaron Eckhart"
"Barbara Eden"
"Blake Edwards"
"Nicole Eggert"
"Chris Eigeman"
"Sergei M. Eisenstein"
"Anita Ekberg"
"Britt Ekland"
"Jack Elam"
"Carmen Electra"
"Bodhi Elfman"
"Jenna Elfman"
"Hector Elizondo"
"Denholm Elliott"
"Noah Emmerich"
"Nora Ephron"
"David Prowse"
"Adam Sandler"
"Shelley Fabares"
"Jeff Fahey"
"Douglas Fairbanks Jr."
"Douglas Fairbanks"
"Anna Falchi"
"Debrah Farentino"
"Dennis Farina"
"Gary Farmer"
"Mia Farrow"
"Rainer Werner Fassbinder"
"Marty Feldman"
"Norman Fell"
"Abel Ferrara"
"José Ferrer"
"Miguel Ferrer"
"William Fichtner"
"Chelsea Field"
"W.C. Fields"
"Joseph Fiennes"
"Harvey Fierstein"
"Albert Finney"
"Tara Fitzgerald"
"Fionnula Flanagan"
"Sean Patrick Flanery"
"Ian Fleming"
"Louise Fletcher"
"Calista Flockhart"
"Lara Flynn Boyle"
"Errol Flynn"
"Nina Foch"
"Megan Follows"
"Peter Fonda"
"Glenn Ford"
"Harrison Ford"
"Claire Forlani"
"Milos Forman"
"Robert Forster"
"John Forsythe"
"William Forsythe"
"Meg Foster"
"Samantha Fox"
"Jesús Franco"
"John Frankenheimer"
"Dennis Franz"
"Stephen Frears"
"Matt Frewer"
"William Friedkin"
"Sadie Frost"
"Mira Furlan"
"Dan Futterman"
"Eva Gabor"
"Zsa Zsa Gabor"
"Monique Gabrielle"
"Charlotte Gainsbourg"
"Peter Gallagher"
"Vincent Gallo"
"Mason Gamble"
"James Gandolfini"
"Victor Garber"
"Greta Garbo"
"Ava Gardner"
"James Garner"
"Jennie Garth"
"John Gavin"
"Rebecca Gayheart"
"Ben Gazzara"
"Jason Gedrick"
"Sarah Michelle Gellar"
"Susan George"
"Gil Gerard"
"Balthazar Getty"
"Estelle Getty"
"Cynthia Gibb"
"Melissa Gilbert"
"Annabeth Gish"
"Lillian Gish"
"Paul Michael Glaser"
"Philip Glass"
"Jackie Gleason"
"Scott Glenn"
"John Glover"
"William Goldman"
"Jenette Goldstein"
"Bobcat Goldthwait"
"Tony Goldwyn"
"Louis Gossett Jr."
"Michael Gough"
"Elliott Gould"
"Elizabeth Gracen"
"Heather Graham"
"Kelsey Grammer"
"Stewart Granger"
"Richard E. Grant"
"Rupert Graves"
"Erin Gray"
"Seth Green"
"Graham Greene"
"Lorne Greene"
"Joel Grey"
"Richard Grieco"
"Thomas Ian Griffith"
"John Grisham"
"Charles Grodin"
"Christopher Guest"
"Carla Gugino"
"Fred Gwynne"
"Lukas Haas"
"Larry Hagman"
"Stacy Haiduk"
"Alan Hale Jr."
"Anthony Michael Hall"
"Kevin Peter Hall"
"Philip Baker Hall"
"Geri Horner"
"George Hamilton"
"John Hannah"
"Marcia Gay Harden"
"Oliver Hardy"
"Renny Harlin"
"Jean Harlow"
"Mark Harmon"
"Valerie Harper"
"Richard Harris"
"Rex Harrison"
"Debbie Harry"
"Ian Hart"
"Josh Hartnett"
"David Hasselhoff"
"Howard Hawks"
"Nigel Hawthorne"
"Sterling Hayden"
"Robert Hays"
"Susan Hayward"
"John Heard"
"Tippi Hedren"
"Van Heflin"
"Katherine Heigl"
"Marg Helgenberger"
"Katherine Helmond"
"Florence Henderson"
"Jimi Hendrix"
"Carrie Henn"
"Gregg Henry"
"Jim Henson"
"Edward Herrmann"
"Barbara Hershey"
"Werner Herzog"
"Jennifer Love Hewitt"
"Benny Hill"
"Terence Hill"
"Ciarán Hinds"
"Hulk Hogan"
"Paul Hogan"
"Hal Holbrook"
"Sterling Holloway"
"John Holmes"
"Tobe Hooper"
"Bob Hope"
"Jane Horrocks"
"Bob Hoskins"
"Whitney Houston"
"Leslie Howard"
"C. Thomas Howell"
"Ernie Hudson"
"Rock Hudson"
"Finola Hughes"
"Tom Hulce"
"Bonnie Hunt"
"Linda Hunt"
"Jeffrey Hunter"
"Kim Hunter"
"Isabelle Huppert"
"Olivia Hussey"
"Anjelica Huston"
"John Huston"
"Jim Hutton"
"Lauren Hutton"
"David Hyde Pierce"
"Ice-T"
"Eric Idle"
"Natalie Imbruglia"
"Kathy Ireland"
"Amy Irving"
"Chris Isaak"
"Janet Jackson"
"Michael Jackson"
"Peter Jackson"
"Irène Jacob"
"Derek Jacobi"
